Student_ID,Age,Gender,University_Year,Major,CGPA,Attendance_Percentage,Study_Hours_Per_Week,Projects_Completed,Certifications_Count,Internships,Communication_Skills,Teamwork,Problem_Solving,Interest_Domain,Skill_AWS,Skill_Adobe_XD,Skill_Agile,Skill_Ansible,Skill_Azure,Skill_CI_CD,Skill_Cybersecurity,Skill_Data_Analysis,Skill_Django,Skill_Docker,Skill_Elasticsearch,Skill_FastAPI,Skill_Figma,Skill_Flutter,Skill_GCP,Skill_Git,Skill_GraphQL,Skill_JavaScript,Skill_Kubernetes,Skill_Laravel,Skill_Linux,Skill_Machine_Learning,Skill_MongoDB,Skill_MySQL,Skill_Networking,Skill_Node.js,Skill_NumPy,Skill_PHP,Skill_Pandas,Skill_PostgreSQL,Skill_PyTorch,Skill_Python,Skill_REST_APIs,Skill_React,Skill_React_Native,Skill_Redis,Skill_SQL,Skill_Scrum,Skill_TensorFlow,Skill_Terraform,Skill_TypeScript,Career_Field
SS00024,23,Male,Junior,Cybersecurity,3.48,67,4,5,1,3,8,5,2,Business & Analytics,1,0,8,0,2,2,4,7,2,3,5,3,2,0,0,1,1,1,2,3,2,3,2,4,0,2,0,3,5,4,1,5,2,1,1,1,6,7,2,2,3,Business Analyst
SS00025,21,Male,Freshman,Software Engineering,2.86,93,27,6,3,2,3,5,5,Cloud & Infrastructure,5,3,0,4,7,4,2,1,3,5,0,2,1,3,8,3,4,2,7,2,7,2,2,1,3,0,2,4,0,0,3,1,4,2,1,2,4,3,0,7,2,Cloud Engineer
SS00026,18,Male,Sophomore,Cybersecurity,3.4,85,27,5,1,1,8,9,6,Business & Analytics,1,4,2,2,5,3,3,8,1,0,0,0,6,0,1,1,2,3,4,1,1,2,1,9,3,3,8,4,7,5,3,0,1,3,4,2,7,5,2,7,3,Data Analyst
SS00027,20,Male,Junior,Information Technology,2.18,85,22,4,3,0,5,6,10,Systems & Networking,3,4,0,5,5,7,2,2,3,3,4,3,2,4,0,7,5,0,0,3,7,0,1,0,8,1,5,2,1,1,1,7,7,1,1,2,4,0,3,0,3,Embedded Systems Engineer
SS00028,20,Male,Junior,Information Technology,3.13,87,10,8,3,0,6,6,6,Cloud & Infrastructure,1,4,6,9,1,5,2,0,2,6,1,0,3,1,0,2,2,5,5,1,1,3,0,2,3,4,2,1,0,0,1,7,4,0,5,1,2,6,0,4,3,Automation Engineer
SS00029,19,Female,Junior,Electrical Engineering,2.89,76,18,7,2,1,5,4,9,Business & Analytics,3,2,1,0,5,2,6,8,3,1,0,1,0,3,5,1,4,0,1,0,0,2,2,8,3,3,5,3,9,7,5,6,1,0,0,0,6,4,0,0,2,Data Analyst
SS00030,20,Female,Junior,Electrical Engineering,3.59,97,25,9,1,0,6,6,7,Web Development,1,1,0,3,6,0,2,5,2,3,0,3,1,4,4,10,3,7,2,1,2,1,7,4,0,9,4,2,0,1,4,2,5,6,3,3,6,1,1,0,9,Full Stack Developer
SS00031,22,Male,Senior,Cybersecurity,3.32,100,16,8,0,2,8,4,6,Cloud & Infrastructure,4,1,1,5,5,6,1,2,2,8,1,0,0,1,0,6,4,1,1,2,1,2,3,4,4,6,3,6,0,6,1,6,2,1,2,1,3,6,3,5,1,Automation Engineer
SS00032,21,Male,Sophomore,Computer Science,3.86,81,15,10,2,1,4,9,8,Web Development,5,4,5,3,2,0,1,0,6,1,2,3,2,5,1,7,0,5,1,2,1,0,4,2,0,8,2,0,1,0,2,4,4,7,1,3,7,0,1,0,8,Full Stack Developer
SS00033,19,Male,Junior,Business Analytics,2.96,84,18,6,1,2,6,2,7,Cloud & Infrastructure,0,2,4,10,1,8,4,0,5,5,3,2,2,7,1,6,4,3,4,2,2,6,0,2,3,1,1,3,4,2,1,6,1,4,2,0,2,8,1,0,6,Automation Engineer
SS00034,20,Male,Senior,Artificial Intelligence,2.31,89,13,9,1,1,7,10,4,Cybersecurity,0,0,4,5,0,1,7,2,0,3,1,2,3,2,1,2,2,1,1,5,8,1,3,1,9,3,2,3,0,0,0,2,5,6,3,3,4,1,0,1,1,SOC Analyst
SS00035,19,Male,Junior,Artificial Intelligence,3.68,83,27,5,5,1,4,8,4,Cloud & Infrastructure,4,4,1,7,7,9,2,1,1,7,0,2,2,5,7,0,7,4,10,0,6,3,3,2,0,0,5,5,2,5,0,0,0,0,3,0,6,3,4,7,4,DevOps Engineer
SS00036,21,Male,Sophomore,Electrical Engineering,2.8,90,8,5,2,1,6,8,5,Data & AI,2,2,2,3,1,1,5,2,1,7,1,0,0,0,4,1,1,3,1,3,0,6,2,2,0,4,5,2,7,4,10,5,1,2,0,3,3,3,7,5,0,Machine Learning Engineer
SS00037,22,Female,Freshman,Data Science,3.37,80,22,5,1,0,5,8,7,Systems & Networking,3,1,1,2,4,2,4,2,2,3,3,1,0,2,2,6,0,3,3,1,6,0,3,0,10,1,0,2,2,4,2,0,1,2,0,4,0,5,3,3,4,IT Support Engineer
SS00038,20,Female,Junior,Software Engineering,3.24,72,22,8,2,2,9,5,6,Cloud & Infrastructure,0,0,1,2,3,3,2,2,3,7,6,2,4,0,2,9,1,2,4,0,0,2,4,0,3,3,0,0,1,1,0,5,5,2,0,2,3,7,1,0,0,Automation Engineer
SS00039,23,Male,Senior,Computer Science,3.29,87,25,6,2,0,3,8,6,Cloud & Infrastructure,3,2,2,7,0,7,6,0,2,8,2,3,0,3,0,7,2,6,3,2,0,2,3,2,1,1,3,3,5,0,3,7,2,3,3,3,0,6,5,1,2,Automation Engineer
SS00040,19,Male,Sophomore,Electrical Engineering,3.37,93,9,5,0,1,7,8,2,Web Development,3,1,1,4,5,1,0,4,0,3,0,4,0,3,2,5,1,8,2,3,6,0,9,2,0,5,1,4,2,5,0,2,5,7,4,1,3,2,3,3,9,Full Stack Developer
SS00041,18,Female,Freshman,Computer Science,3.03,62,5,4,1,3,7,7,10,Business & Analytics,4,1,4,0,0,5,3,9,0,0,1,0,3,0,0,2,0,0,2,0,3,0,0,6,2,3,7,0,8,8,0,1,1,2,1,2,8,0,3,4,5,Data Analyst
SS00042,21,Male,Senior,Business Analytics,2.71,72,22,5,1,1,6,5,10,Data & AI,2,0,3,3,3,1,0,4,1,5,3,1,4,3,3,0,4,2,1,2,0,7,0,0,0,4,6,5,6,0,5,9,1,1,2,3,4,5,6,0,1,Machine Learning Engineer
SS00043,20,Male,Freshman,Artificial Intelligence,3.2,84,3,7,2,1,8,5,3,Cybersecurity,3,7,3,5,6,3,7,0,2,0,1,6,2,0,5,4,4,0,6,1,8,7,6,0,4,5,2,1,3,1,3,2,3,0,5,3,8,0,5,2,3,SOC Analyst
SS00044,21,Female,Freshman,Computer Science,2.82,85,13,6,2,2,4,7,3,Systems & Networking,3,3,0,2,5,3,2,5,1,1,2,3,0,2,3,6,4,3,6,0,8,0,0,0,8,2,1,0,0,2,3,7,2,1,5,0,0,1,3,0,2,Embedded Systems Engineer
SS00045,24,Female,Junior,Cybersecurity,2.8,88,23,5,4,2,3,8,8,Cloud & Infrastructure,6,4,5,7,6,8,0,0,0,5,0,5,0,1,8,3,5,2,7,0,5,0,3,2,2,0,0,2,0,0,1,0,0,0,3,5,2,2,3,7,0,DevOps Engineer
SS00046,25,Female,Junior,Business Analytics,3.21,97,28,8,1,0,7,7,7,Software Development,2,0,10,4,0,3,4,2,3,2,0,1,1,5,2,6,2,8,1,0,1,4,3,2,2,1,1,0,1,4,0,6,5,0,1,1,10,1,4,4,6,Software Engineer
SS00047,21,Male,Junior,Artificial Intelligence,3.28,93,22,7,1,5,7,8,8,Data & AI,5,1,2,4,0,4,5,0,5,4,3,0,4,4,6,5,1,0,3,2,5,3,6,3,0,3,9,2,4,1,8,7,1,4,3,3,1,1,4,1,4,AI Engineer
SS00048,23,Female,Sophomore,Software Engineering,3.26,71,12,8,5,1,7,5,6,Cloud & Infrastructure,2,1,4,6,0,8,0,3,4,8,4,6,4,2,5,10,5,1,0,1,3,2,1,3,0,2,4,3,3,5,2,6,4,4,3,1,2,5,4,4,0,Automation Engineer
SS00049,19,Male,Senior,Artificial Intelligence,2.92,92,11,8,2,3,5,9,6,Software Development,2,1,2,0,1,2,2,2,4,3,3,9,3,2,0,9,2,2,1,1,3,0,9,5,1,5,0,0,3,7,3,4,6,5,2,0,7,0,2,2,3,Backend Developer
SS00050,19,Female,Sophomore,Data Science,2.86,73,16,7,2,0,6,9,7,Cybersecurity,2,0,2,0,4,1,7,1,5,1,5,3,3,3,3,0,1,3,2,0,7,5,4,2,8,1,0,0,5,1,1,6,6,5,6,1,7,0,5,0,2,Cybersecurity Analyst
SS00051,21,Male,Sophomore,Business Analytics,3.45,97,31,8,2,0,8,3,5,Systems & Networking,7,6,5,3,4,5,2,1,0,0,0,2,0,0,3,7,3,5,4,5,7,5,3,2,9,0,6,1,0,3,1,6,1,2,0,3,0,3,1,0,2,IT Support Engineer
SS00052,20,Male,Freshman,Data Science,2.37,84,8,6,2,4,6,8,7,Data & AI,2,2,5,4,4,1,0,4,4,9,1,1,0,1,4,1,3,1,2,0,2,2,1,0,4,3,7,5,5,5,8,6,4,0,0,1,1,0,9,1,3,Machine Learning Engineer
SS00053,21,Male,Junior,Electrical Engineering,3.19,71,24,5,1,1,8,6,7,Software Development,1,1,6,2,1,1,2,0,2,1,3,4,4,2,3,6,3,8,0,3,5,1,1,1,0,2,2,2,3,0,2,7,6,3,2,1,7,1,3,1,5,Software Engineer
SS00054,24,Male,Junior,Artificial Intelligence,3.41,87,21,9,2,1,6,6,6,Data & AI,2,3,1,2,0,1,3,7,1,2,3,0,4,1,3,4,0,0,1,0,5,5,1,2,0,1,7,1,7,1,4,7,5,2,2,3,5,5,7,5,0,Data Scientist
SS00055,24,Male,Senior,Cybersecurity,3.05,82,20,7,0,1,5,5,5,Software Development,0,4,6,0,2,2,0,1,5,0,5,1,0,0,0,6,2,2,2,0,5,1,4,4,4,1,1,1,3,1,2,7,5,0,1,2,7,3,0,0,5,Software Engineer
SS00056,24,Female,Sophomore,Software Engineering,2.94,89,33,8,5,1,5,5,5,Cloud & Infrastructure,7,0,3,1,2,1,0,0,0,7,4,2,1,3,6,0,0,0,6,2,7,1,0,3,0,3,0,0,0,1,4,3,4,3,0,1,0,4,0,8,4,Cloud Engineer
SS00057,22,Female,Freshman,Business Analytics,3.45,77,27,5,2,1,10,8,7,Data & AI,0,2,1,1,0,1,2,1,1,7,4,4,3,0,1,1,0,2,0,5,4,7,2,4,3,4,7,5,9,3,9,6,0,2,2,1,4,2,7,1,4,Machine Learning Engineer
SS00058,24,Male,Sophomore,Software Engineering,2.92,64,26,5,2,0,7,9,10,Business & Analytics,0,2,9,0,1,2,0,5,2,1,3,7,2,0,5,0,0,1,1,1,2,2,4,7,1,4,0,0,4,4,0,1,0,2,5,3,8,8,2,4,3,Business Analyst
SS00059,22,Male,Senior,Cybersecurity,2.89,77,21,5,1,2,3,6,6,Cybersecurity,2,3,0,0,5,4,5,2,4,3,3,1,5,2,1,4,2,2,2,3,5,0,5,2,8,0,4,1,0,2,0,2,2,4,5,5,3,0,0,0,1,SOC Analyst
SS00060,18,Female,Senior,Artificial Intelligence,3.23,94,26,11,0,2,5,7,5,Data & AI,2,5,2,0,1,3,0,1,1,5,0,2,4,2,2,0,4,3,0,4,3,5,2,1,7,3,7,3,9,2,6,8,1,0,0,5,2,1,6,3,1,Machine Learning Engineer
SS00061,24,Male,Junior,Computer Science,3.31,82,19,4,1,1,5,9,5,Cloud & Infrastructure,3,3,3,1,8,0,4,1,0,6,1,2,2,1,7,2,1,0,8,3,7,4,0,1,0,6,3,2,3,4,4,4,1,1,0,3,1,1,1,9,4,Cloud Engineer
SS00062,22,Male,Sophomore,Information Technology,3.35,99,23,6,2,0,8,6,6,Business & Analytics,3,1,1,3,0,0,1,8,1,5,4,2,2,2,2,1,1,0,0,4,2,2,3,5,0,1,9,0,2,6,4,0,0,2,7,0,4,2,4,1,0,Data Analyst
SS00063,18,Male,Sophomore,Cybersecurity,3.5,94,21,3,1,0,7,4,8,Cybersecurity,0,1,2,0,0,5,6,1,0,4,0,2,0,3,4,3,0,3,0,0,6,1,1,4,10,0,0,2,1,3,4,8,3,5,0,5,1,3,0,0,3,Penetration Tester
SS00064,20,Female,Sophomore,Artificial Intelligence,3.5,76,17,9,2,0,8,8,5,Cybersecurity,1,1,2,4,0,3,8,3,0,0,3,2,4,0,3,4,2,3,3,0,8,5,2,0,6,0,4,3,1,0,0,1,2,2,4,0,4,0,2,0,1,SOC Analyst
SS00065,21,Female,Freshman,Business Analytics,3.04,69,15,8,4,0,6,7,7,Cloud & Infrastructure,7,1,1,3,8,3,2,2,2,6,5,4,3,1,8,4,0,5,4,3,9,2,1,3,6,1,0,1,0,4,1,1,4,1,3,0,4,2,2,7,0,Cloud Engineer
SS00066,22,Female,Junior,Computer Science,2.37,69,7,4,1,1,6,6,7,Systems & Networking,3,2,1,1,1,0,0,3,2,2,0,1,0,2,5,4,1,2,4,1,6,0,2,6,7,2,2,2,0,3,2,2,0,4,3,1,4,1,0,0,0,IT Support Engineer
SS00067,21,Male,Junior,Data Science,3.32,90,31,9,3,2,8,6,4,Cybersecurity,5,1,1,0,0,2,6,2,2,7,1,5,5,3,1,0,3,4,5,0,6,0,1,3,6,0,3,3,3,0,4,7,7,2,0,0,8,4,0,6,5,Cybersecurity Analyst
SS00068,21,Male,Senior,Data Science,3.71,85,16,13,0,1,8,9,6,Data & AI,1,3,0,4,2,1,1,4,1,1,0,2,3,1,3,0,4,2,5,7,1,6,1,3,4,0,7,2,8,5,6,4,3,0,2,3,7,2,6,0,3,Data Scientist
SS00069,19,Male,Junior,Information Technology,3.41,76,24,3,1,5,8,8,5,Systems & Networking,0,3,2,0,1,2,0,1,0,3,4,3,6,3,4,9,0,3,0,0,5,1,3,3,7,3,3,3,0,0,2,8,0,2,0,4,2,0,0,3,5,Embedded Systems Engineer
SS00070,24,Male,Sophomore,Computer Science,4.0,85,19,6,1,0,4,9,7,Data & AI,1,0,7,4,0,2,5,4,2,2,0,3,4,5,1,7,0,3,0,2,1,8,2,0,0,6,7,0,8,1,7,8,4,0,2,1,8,1,7,1,2,Data Scientist
SS00071,23,Female,Freshman,Cybersecurity,2.92,86,11,7,1,1,7,4,6,Cybersecurity,1,4,0,0,3,5,6,0,4,2,4,0,4,0,1,3,2,4,0,2,9,2,0,4,6,0,0,1,2,0,0,0,0,2,3,2,7,5,3,3,1,SOC Analyst
SS00072,18,Male,Junior,Business Analytics,2.92,71,16,8,2,0,6,8,9,Business & Analytics,1,0,1,1,3,0,5,4,4,1,4,2,4,1,0,5,2,2,4,0,3,1,2,7,0,0,9,4,7,7,1,5,1,2,4,0,9,0,5,1,1,Data Analyst
SS00073,20,Female,Junior,Electrical Engineering,2.71,83,27,11,1,2,10,3,6,Data & AI,2,0,2,4,3,0,1,5,1,7,5,1,3,3,3,3,1,1,0,0,4,7,4,5,2,0,6,0,4,1,7,6,0,0,2,6,4,3,8,2,0,Machine Learning Engineer
SS00074,20,Female,Junior,Software Engineering,2.41,82,2,10,1,1,8,6,7,Software Development,0,2,6,0,0,2,1,1,1,3,3,2,1,2,1,4,4,8,6,6,0,1,7,2,2,0,2,6,4,1,1,5,5,0,2,5,7,5,4,1,5,Software Engineer
SS00075,18,Male,Junior,Software Engineering,3.53,72,11,7,1,0,5,5,8,Cloud & Infrastructure,10,2,1,8,6,5,1,1,3,6,2,5,2,5,9,3,1,4,6,2,7,2,0,0,4,3,0,0,2,3,0,2,3,1,2,1,4,0,0,7,0,DevOps Engineer
SS00076,20,Female,Freshman,Data Science,3.26,63,22,6,0,2,5,7,5,Web Development,4,1,1,0,4,4,4,5,3,5,1,0,4,0,2,8,2,10,0,2,2,0,5,0,0,7,1,2,3,3,1,2,8,7,6,4,9,0,2,1,7,Full Stack Developer
SS00077,22,Female,Sophomore,Information Technology,2.67,93,19,5,0,4,6,7,10,Data & AI,0,4,0,3,4,2,1,0,3,2,3,2,1,2,0,0,3,4,0,0,3,7,8,4,3,0,8,5,6,2,7,6,2,2,5,1,3,1,8,1,3,Machine Learning Engineer
SS00078,23,Female,Junior,Software Engineering,2.62,84,14,6,3,1,7,7,5,Systems & Networking,1,3,0,2,3,3,0,0,0,2,3,5,1,1,4,7,4,2,0,0,4,3,4,5,8,4,1,0,4,3,2,3,2,4,4,3,3,3,1,3,0,IT Support Engineer
SS00079,20,Female,Sophomore,Computer Science,3.21,85,16,4,1,3,1,6,10,Data & AI,0,1,1,2,0,3,6,3,2,4,0,2,1,4,3,7,0,2,0,0,3,7,0,2,1,1,6,0,6,0,7,2,1,0,0,1,2,1,5,3,0,AI Engineer
SS00080,21,Female,Senior,Information Technology,3.32,60,19,10,0,0,7,5,5,Cybersecurity,5,3,4,0,2,1,5,3,1,3,0,5,0,2,3,1,4,0,5,2,6,1,3,1,6,1,0,5,1,3,2,5,2,3,1,4,4,4,1,0,1,Penetration Tester
SS00081,23,Male,Senior,Cybersecurity,2.57,80,18,8,0,2,6,6,10,Data & AI,3,0,0,4,2,3,4,0,3,5,1,3,1,3,2,2,1,0,0,2,5,9,0,2,1,2,7,3,2,3,6,6,3,5,3,1,0,0,7,3,2,Machine Learning Engineer
SS00082,21,Female,Sophomore,Computer Science,4.0,93,24,5,2,0,7,7,10,Data & AI,3,0,3,4,4,2,1,1,5,6,0,3,0,0,0,1,2,2,4,3,1,6,3,4,2,1,5,0,8,3,8,6,5,1,4,2,1,3,7,3,2,AI Engineer
SS00083,23,Female,Junior,Artificial Intelligence,2.21,77,22,7,3,3,3,7,7,Systems & Networking,2,4,1,3,0,2,4,3,0,3,3,2,3,0,2,8,4,3,0,0,7,2,2,0,7,2,2,3,1,1,4,0,1,4,1,2,1,0,2,0,2,IT Support Engineer
SS00084,21,Male,Junior,Electrical Engineering,2.91,74,28,4,0,2,5,6,9,Systems & Networking,1,0,3,0,0,3,3,2,0,0,1,0,0,3,5,6,3,0,3,0,7,1,4,0,8,1,1,1,0,2,2,7,2,3,4,0,4,0,3,3,0,Embedded Systems Engineer
SS00085,22,Male,Freshman,Artificial Intelligence,3.16,64,18,7,0,1,7,7,2,Cybersecurity,2,1,3,0,3,0,10,2,3,0,3,2,0,1,6,4,1,0,0,0,4,3,2,5,5,2,0,1,1,1,2,8,4,0,2,3,4,0,3,2,0,Penetration Tester
SS00086,20,Male,Junior,Electrical Engineering,3.71,85,14,7,2,2,8,7,6,Cybersecurity,1,0,3,4,4,3,7,0,4,3,0,3,3,4,2,0,1,0,2,1,10,4,4,3,6,1,1,2,3,2,1,6,0,4,6,4,5,3,4,1,3,Cybersecurity Analyst
SS00087,23,Female,Sophomore,Artificial Intelligence,2.67,91,18,10,1,2,9,4,7,Data & AI,2,1,2,0,1,2,4,0,5,7,0,0,2,0,1,1,4,4,1,1,0,3,0,4,3,3,4,0,5,1,6,5,2,2,0,2,4,5,7,3,1,Machine Learning Engineer
SS00088,23,Female,Senior,Computer Science,3.74,88,29,5,1,0,7,8,10,Systems & Networking,2,4,1,2,1,0,4,6,0,4,0,2,5,1,2,4,0,0,3,3,6,2,1,3,7,0,4,1,0,1,0,0,2,2,2,2,0,2,1,0,0,IT Support Engineer
SS00089,21,Male,Freshman,Data Science,2.67,79,23,6,1,1,7,8,6,Cloud & Infrastructure,3,0,2,6,1,7,0,3,3,7,2,3,3,3,0,5,1,0,2,5,4,3,3,6,3,4,0,4,3,2,1,6,4,2,1,0,2,6,1,0,4,Automation Engineer
SS00090,21,Male,Junior,Artificial Intelligence,2.79,68,25,8,1,0,7,6,9,Data & AI,2,5,3,1,1,1,3,6,1,4,2,4,3,0,2,4,0,3,2,0,2,5,0,2,0,0,10,3,5,5,5,6,0,2,5,0,3,4,9,0,3,Data Scientist
SS00091,19,Female,Freshman,Electrical Engineering,3.46,72,11,8,0,2,6,6,9,Cloud & Infrastructure,0,1,2,7,6,3,0,6,3,6,2,2,1,2,3,10,4,5,0,1,2,0,4,3,1,1,4,0,4,1,3,7,6,0,1,0,0,8,5,3,2,Automation Engineer
SS00092,23,Female,Senior,Electrical Engineering,3.05,73,15,8,0,1,5,4,6,Software Development,4,0,4,1,0,3,4,7,5,3,1,8,0,0,0,7,1,3,4,3,5,3,5,5,1,8,5,3,0,5,4,6,7,3,3,2,6,1,4,3,1,Backend Developer
